element_id,x_demo_m,y_demo_m,z_demo_m,layer_id,layer_name,log10_K_demo,K_demo_m_per_s
75,143.775,762.503,452.867,1,upper,-6.62398,2.376949746685514e-07
76,310.082,766.352,488.818,1,upper,-6.79996,1.5850391732412332e-07
77,438.079,414.768,444.43,1,upper,-7.32475,4.734237051291718e-08
78,-104.509,544.532,392.363,1,upper,-6.6793,2.0926663937233925e-07
79,428.902,551.902,425.525,1,upper,-7.07453,8.423062049773957e-08
80,-141.729,842.157,412.685,1,upper,-6.58996,2.570632535872082e-07
81,127.736,781.021,415.395,1,upper,-6.644,2.2698648518838212e-07
82,392.927,360.537,412.024,1,upper,-6.99127,1.0203049649578986e-07
83,163.516,735.448,429.11,1,upper,-6.77456,1.6805057392224017e-07
84,603.767,360.342,448.975,1,upper,-6.81775,1.521423079230508e-07
85,556.273,310.908,450.807,1,upper,-6.91087,1.227806702980356e-07
86,-102.119,552.324,339.678,1,upper,-6.74579,1.7956016673309666e-07
87,-170.553,779.136,350.556,1,upper,-6.80222,1.576812303559788e-07
88,216.761,507.695,438.596,1,upper,-6.88298,1.309242214443257e-07
89,278.904,369.483,407.371,1,upper,-6.96588,1.0817328038274766e-07
90,351.035,842.993,430.0,1,upper,-6.90837,1.2348949084306193e-07
91,294.571,564.907,447.31,1,upper,-6.99337,1.0153832619141383e-07
92,218.797,49.933,462.966,1,upper,-6.62767,2.3568394553970805e-07
93,-37.547,597.723,392.794,1,upper,-6.60103,2.5059361431169653e-07
94,49.514,176.318,368.385,1,upper,-6.51884,3.0280287896638555e-07
95,22.991,70.643,429.903,1,upper,-6.45288,3.52468248164798e-07
96,112.632,92.541,454.517,1,upper,-6.47131,3.378236111633908e-07
97,-186.097,91.805,351.571,1,upper,-6.7449,1.799285168154938e-07
98,-86.665,520.051,343.552,1,upper,-6.71483,1.9282795702049218e-07
99,113.869,455.022,403.133,1,upper,-6.82934,1.4813579071700527e-07
100,130.454,289.377,446.282,1,upper,-6.65975,2.1890213633224873e-07
101,156.666,612.777,415.661,1,upper,-6.82206,1.5063989351059642e-07
102,123.64,253.406,379.216,1,upper,-6.66189,2.1782614220387857e-07
103,152.255,631.068,396.983,1,upper,-6.71736,1.917078956377133e-07
104,543.027,133.062,416.039,1,upper,-6.94908,1.1243978331540001e-07
105,100.879,351.271,387.094,1,upper,-6.7914,1.616590416954468e-07
106,71.702,299.903,434.319,1,upper,-6.53162,2.9402211683660595e-07
107,-66.513,518.974,357.673,1,upper,-6.81539,1.5297131497715775e-07
108,70.967,356.085,397.226,1,upper,-6.76325,1.7248447057288585e-07
109,499.608,891.175,479.953,1,upper,-6.98323,1.0393695755622359e-07
110,106.77,193.017,413.13,1,upper,-6.78391,1.6447125260500014e-07
111,-84.653,579.148,357.575,1,upper,-6.70817,1.9580780544456565e-07
112,270.766,555.718,393.919,1,upper,-7.08187,8.281900337556274e-08
113,588.418,891.765,452.18,1,upper,-6.68948,2.0441840719902346e-07
114,464.737,239.218,408.025,1,upper,-6.91139,1.2263374754475446e-07
115,429.646,319.702,455.885,1,upper,-6.91995,1.2024028583938223e-07
116,4.85,418.609,347.022,1,upper,-6.72531,1.8823050179296276e-07
117,70.686,604.801,392.963,1,upper,-6.695,2.0183663636815597e-07
118,621.8,817.981,423.551,1,upper,-6.86702,1.358250895381585e-07
119,383.654,415.621,417.918,1,upper,-7.12037,7.579315751661708e-08
120,234.758,526.1,425.206,1,upper,-6.98625,1.0321670715865542e-07
121,374.486,319.556,416.745,1,upper,-7.06324,8.644900518907878e-08
122,132.85,484.917,374.503,1,upper,-6.90293,1.2504605644053968e-07
123,80.072,720.269,456.357,1,upper,-6.66668,2.1543685474578652e-07
124,-35.089,130.488,376.1,1,upper,-6.59905,2.517387086175656e-07
125,488.777,486.736,441.129,1,upper,-7.08072,8.303859645849074e-08
126,82.985,679.221,388.137,1,upper,-6.77583,1.6755986431092746e-07
127,277.865,536.278,410.799,1,upper,-6.9713,1.0683166572762922e-07
128,35.562,134.374,421.269,1,upper,-6.49333,3.21121955629117e-07
129,377.623,202.453,436.693,1,upper,-6.96872,1.0746820621642226e-07
130,90.083,890.763,466.312,1,upper,-6.49062,3.231320233257412e-07
131,267.658,554.754,462.915,1,upper,-7.07534,8.407366888936596e-08
132,-78.734,630.951,346.683,1,upper,-6.77534,1.6774902321612332e-07
133,83.64,96.626,431.706,1,upper,-6.58506,2.59980036265956e-07
134,560.043,338.624,443.26,1,upper,-7.04799,8.953853823225709e-08
135,466.979,392.055,445.73,1,upper,-7.09648,8.007925055152861e-08
136,356.707,791.951,495.931,1,upper,-6.77207,1.6901684867140349e-07
137,-160.377,157.118,349.48,1,upper,-6.61849,2.407187945962842e-07
138,-93.216,688.276,356.047,1,upper,-6.70157,1.9880623467804722e-07
139,-109.585,908.741,424.836,1,upper,-6.57816,2.6414354372628657e-07
140,60.736,88.489,441.365,1,upper,-6.5257,2.98057462648232e-07
141,190.895,383.257,423.984,1,upper,-6.6539,2.2187072372089454e-07
142,88.723,268.419,389.792,1,upper,-6.69261,2.0295044130279852e-07
143,555.686,883.7,451.349,1,upper,-6.83697,1.4555596236060313e-07
144,559.388,548.929,439.384,1,upper,-7.13134,7.390264802633688e-08
145,161.592,888.856,478.363,1,upper,-6.69819,2.0035952803558686e-07
146,488.736,265.172,384.9,1,upper,-7.04538,9.007826238046322e-08
147,406.246,499.967,422.767,1,upper,-7.20852,6.186998347168385e-08
148,316.923,226.718,418.943,1,upper,-7.05373,8.836290800987712e-08
149,343.938,609.71,460.677,1,upper,-7.08132,8.292395360859165e-08
150,523.458,711.978,467.391,1,upper,-6.93943,1.1496615320323315e-07
151,370.937,378.645,417.919,1,upper,-7.12157,7.55840223470106e-08
152,541.969,535.132,425.029,1,upper,-7.16933,6.771267952011846e-08
153,99.878,875.971,445.287,1,upper,-6.60639,2.4751983109654847e-07
154,281.232,270.293,440.475,1,upper,-6.92357,1.1924220546385145e-07
155,380.983,51.159,400.033,1,upper,-6.81528,1.5301006512600143e-07
156,191.543,175.822,453.393,1,upper,-6.61927,2.4028684770796415e-07
157,18.673,535.766,414.376,1,upper,-6.81012,1.548388724184025e-07
158,289.914,871.756,453.571,1,upper,-6.71867,1.9113050179404856e-07
159,353.142,565.129,441.846,1,upper,-6.87038,1.3477830801267886e-07
160,561.414,352.401,410.317,1,upper,-6.92532,1.1876268291814556e-07
161,513.911,529.519,385.504,1,upper,-7.10468,7.858144308176454e-08
162,479.55,418.078,379.969,1,upper,-7.0749,8.415889023429098e-08
163,490.317,641.872,450.172,1,upper,-7.07097,8.492391363714737e-08
164,101.121,861.284,474.095,1,upper,-6.56346,2.7323730931515423e-07
165,188.135,100.837,395.582,1,upper,-6.65456,2.2153380149126479e-07
166,-123.239,645.386,406.575,1,upper,-6.85156,1.4074727653810445e-07
167,584.708,283.324,445.908,1,upper,-6.99821,1.0041301329039324e-07
168,383.406,267.914,427.031,1,upper,-7.14608,7.143647231098122e-08
169,346.821,349.605,458.639,1,upper,-7.05956,8.718464429289243e-08
170,337.757,181.022,432.575,1,upper,-6.93132,1.1713319782069109e-07
171,-161.643,444.919,330.941,1,upper,-6.88652,1.298613759078455e-07
172,290.263,474.696,436.189,1,upper,-7.05441,8.822466135048303e-08
173,544.522,431.855,435.876,1,upper,-6.89156,1.2836304181257497e-07
174,-8.705,263.709,411.66,1,upper,-6.79256,1.6122782674761232e-07
175,35.181,306.091,413.257,1,upper,-6.66776,2.149017737136892e-07
176,85.396,439.849,368.391,1,upper,-6.67681,2.104699025612012e-07
177,144.305,893.361,440.401,1,upper,-6.41387,3.8559376251093016e-07
178,259.544,903.949,465.149,1,upper,-6.74069,1.816812042980454e-07
179,348.747,681.185,443.402,1,upper,-6.82576,1.4936195862397904e-07
180,60.136,557.825,412.111,1,upper,-6.61846,2.4073542343585895e-07
181,496.915,826.871,450.254,1,upper,-6.74913,1.7818453170511435e-07
182,478.903,65.783,437.947,1,upper,-6.84006,1.4452400896555888e-07
183,404.831,799.18,463.498,1,upper,-6.88362,1.3073142647301066e-07
184,363.813,107.318,462.543,1,upper,-6.86118,1.376638781608418e-07
185,551.139,506.273,386.725,1,upper,-7.09344,8.064176043683754e-08
186,-51.054,899.686,430.651,1,upper,-6.43986,3.6319511617346725e-07
187,-30.056,682.33,374.091,1,upper,-6.59241,2.5561715684094264e-07
188,-65.876,652.419,408.145,1,upper,-6.69413,2.022413706708112e-07
189,-124.42,456.357,342.488,1,upper,-6.92098,1.1995545434056124e-07
190,-128.991,658.998,341.262,1,upper,-6.78591,1.6371557584160834e-07
191,551.471,907.474,476.257,1,upper,-6.77142,1.692700022586821e-07
192,284.31,727.097,467.868,1,upper,-6.79107,1.6178192549720527e-07
193,266.855,916.178,497.697,1,upper,-6.59647,2.5323865603053676e-07
194,224.516,105.88,454.64,1,upper,-6.80372,1.5713755810946024e-07
195,530.618,806.215,441.864,1,upper,-6.80412,1.5699289569964747e-07
196,-71.624,81.624,375.839,1,upper,-6.45942,3.4720022664272697e-07
197,-19.377,522.732,358.26,1,upper,-6.79735,1.5945935387082193e-07
198,578.127,118.73,459.561,1,upper,-6.79884,1.58913209866668e-07
199,493.766,804.459,459.631,1,upper,-7.0412,9.094943385552956e-08
200,580.323,718.804,428.543,1,upper,-6.80505,1.5665707016082722e-07
201,-120.948,360.631,355.058,1,upper,-6.81305,1.5379775638992947e-07
202,123.175,872.498,435.919,1,upper,-6.55027,2.81663129285445e-07
203,305.347,463.149,446.735,1,upper,-7.11712,7.636247571067665e-08
204,-163.411,471.793,337.103,1,upper,-6.87406,1.3364108718068367e-07
205,416.893,829.089,430.366,1,upper,-7.00728,9.833768948235834e-08
206,608.832,551.158,429.508,1,upper,-6.84616,1.425082477091205e-07
207,-58.149,592.879,400.255,1,upper,-6.77081,1.6950792204405952e-07
208,31.829,499.148,407.654,1,upper,-6.85013,1.4121147844734295e-07
209,162.433,64.477,439.788,1,upper,-6.59564,2.537230947496633e-07
210,130.85,464.053,395.044,1,upper,-6.8477,1.420038110542155e-07
211,-109.842,713.002,371.371,1,upper,-6.72533,1.8822183365760632e-07
212,504.42,147.704,436.996,1,upper,-6.96725,1.0783258093003964e-07
213,-54.623,114.011,373.998,1,upper,-6.60745,2.4691643615953223e-07
214,-187.148,573.996,379.25,1,upper,-6.97495,1.0593756832894926e-07
215,324.699,464.949,397.518,1,upper,-7.04423,9.03171032567682e-08
216,93.771,57.068,420.894,1,upper,-6.68969,2.0431958602988327e-07
217,-102.394,760.842,417.92,1,upper,-6.71836,1.9126697971303418e-07
218,176.353,361.628,387.954,1,upper,-6.86513,1.3641747287750683e-07
219,280.4,143.062,470.836,1,upper,-6.82182,1.5072316319831204e-07
220,268.848,249.517,419.548,1,upper,-6.82473,1.4971661519858486e-07
221,212.157,674.546,408.997,1,upper,-6.9015,1.254584737857996e-07
222,359.21,497.383,419.79,1,upper,-6.96616,1.0810356096884283e-07
223,188.201,495.312,386.046,1,upper,-6.84676,1.4231150122798667e-07
224,283.045,601.143,444.465,1,upper,-6.98801,1.0279926274489589e-07
225,-11.742,428.327,350.962,1,upper,-6.80296,1.574127840321717e-07
226,473.194,742.695,416.116,1,upper,-6.68163,2.0814692531492273e-07
227,337.072,749.707,444.528,1,upper,-7.00972,9.778674722230259e-08
228,306.93,65.249,445.191,1,upper,-6.85616,1.3926436395454325e-07
229,379.618,417.511,384.865,1,upper,-7.12209,7.5493576410852e-08
230,529.329,411.833,404.35,1,upper,-6.99122,1.0204224386702301e-07
231,-71.704,107.963,410.463,1,upper,-6.58076,2.62566914092214e-07
232,-65.042,161.651,368.971,1,upper,-6.60721,2.470529249345287e-07
233,357.093,617.074,407.229,1,upper,-7.03739,9.175082964636988e-08
234,-95.289,47.405,352.567,1,upper,-6.73716,1.8316394971247286e-07
235,625.98,683.924,452.062,1,upper,-6.81428,1.533627897544316e-07
236,100.335,642.085,391.322,1,upper,-6.78907,1.6252867693613557e-07
237,-145.12,862.708,381.129,1,upper,-6.78483,1.6412320904899377e-07
238,149.266,883.824,457.937,1,upper,-6.63194,2.33378046369615e-07
239,289.273,233.518,451.147,1,upper,-6.93994,1.1483122557394953e-07
240,434.853,358.632,410.755,1,upper,-7.03456,9.235065924550325e-08
241,594.643,177.301,407.671,1,upper,-6.87016,1.3484659978349144e-07
242,42.001,596.349,395.257,1,upper,-6.70787,1.9594311141238363e-07
243,595.574,727.806,404.131,1,upper,-6.78914,1.6250248251960403e-07
244,473.472,693.909,465.508,1,upper,-6.95466,1.1100435048517727e-07
245,-119.101,70.877,348.826,1,upper,-6.58401,2.606093541786625e-07
246,-73.276,696.09,397.206,1,upper,-6.61675,2.416851685753247e-07
247,232.23,723.317,454.896,1,upper,-6.73221,1.8526355780704896e-07
248,10.527,148.515,409.537,1,upper,-6.55884,2.761595078055192e-07
249,432.183,53.572,398.494,1,upper,-6.88865,1.2922602928262943e-07
250,164.688,857.692,428.374,1,upper,-6.66462,2.1646116923553585e-07
251,572.309,852.054,445.267,1,upper,-6.90764,1.2369723728766193e-07
252,509.426,498.526,417.119,1,upper,-7.03063,9.319014768689457e-08
253,247.276,205.801,450.809,1,upper,-6.80912,1.5519581288304057e-07
254,600.911,92.741,404.763,1,upper,-6.68898,2.0465388811529992e-07
255,29.701,795.261,390.5,1,upper,-6.56022,2.7528338505522884e-07
256,-150.01,192.253,355.352,1,upper,-6.57358,2.669438993002354e-07
257,501.54,665.63,409.842,1,upper,-7.17352,6.706254025500517e-08
258,263.835,192.119,434.396,1,upper,-6.69615,2.0130288542439987e-07
259,-169.429,583.429,386.34,1,upper,-6.73849,1.826038794687978e-07
260,630.81,155.281,437.845,1,upper,-6.81074,1.546179817267415e-07
261,287.295,386.916,447.843,1,upper,-7.00625,9.85711900900617e-08
262,-138.158,913.42,376.266,1,upper,-6.64898,2.243985260743533e-07
263,209.04,196.799,437.371,1,upper,-6.65948,2.1903826965967543e-07
264,344.571,350.296,446.278,1,upper,-7.07081,8.495520652716956e-08
265,-108.083,449.158,344.335,1,upper,-6.8491,1.4154678189209247e-07
266,373.279,866.262,446.938,1,upper,-6.83175,1.473160277623704e-07
267,207.567,576.329,460.15,1,upper,-6.81931,1.5159678812013466e-07
268,150.447,879.439,414.117,1,upper,-6.51469,3.057102498563653e-07
269,194.43,400.525,440.665,1,upper,-6.91417,1.2185125316650038e-07
270,-157.277,184.419,341.893,1,upper,-6.67031,2.1364365537444012e-07
271,592.768,200.094,411.056,1,upper,-6.84447,1.4306388024342462e-07
272,75.22,79.838,409.629,1,upper,-6.45181,3.53337718113608e-07
273,-61.54,273.589,352.359,1,upper,-6.55983,2.7553070281862006e-07
274,433.046,908.534,434.448,1,upper,-6.89142,1.2840442783857549e-07
275,-99.778,835.773,369.305,1,upper,-6.6515,2.2310022074819536e-07
276,40.801,591.669,434.055,1,upper,-6.63889,2.2967303003122838e-07
277,-175.794,658.729,357.853,1,upper,-6.92803,1.1802391048067204e-07
278,333.966,286.873,440.206,1,upper,-7.00875,9.800539874857561e-08
279,-93.324,554.809,349.703,1,upper,-7.02383,9.46607628437752e-08
280,227.374,361.114,455.374,1,upper,-6.82565,1.4939979446352244e-07
281,88.803,247.358,404.779,1,upper,-6.64636,2.25756363074075e-07
282,429.729,818.71,461.462,1,upper,-6.81584,1.5281289380514827e-07
283,234.839,288.856,400.191,1,upper,-6.957,1.1040786199020735e-07
284,504.679,177.011,434.665,1,upper,-7.06794,8.551848528773129e-08
285,426.058,800.077,439.958,1,upper,-6.91827,1.207063173057903e-07
286,-134.681,64.528,382.677,1,upper,-6.68896,2.0466331299215407e-07
287,88.798,179.929,445.98,1,upper,-6.45988,3.468326706223329e-07
288,214.931,912.356,480.754,1,upper,-6.6342,2.321667382793132e-07
289,45.104,421.659,392.637,1,upper,-6.82512,1.4958222880158942e-07
290,558.992,863.355,462.415,1,upper,-6.83996,1.4455729067997342e-07
291,467.653,889.199,473.491,1,upper,-7.02487,9.44343510050132e-08
292,247.527,787.111,471.747,1,upper,-6.818,1.520547529732497e-07
293,484.222,536.048,386.626,1,upper,-7.2353,5.8170125396268966e-08
294,-59.345,811.372,423.273,1,upper,-6.81154,1.5433342704388657e-07
295,71.952,281.476,406.676,1,upper,-6.58629,2.5924476779178895e-07
296,53.304,287.604,397.542,1,upper,-6.55855,2.7634397480968474e-07
297,448.105,94.396,461.129,1,upper,-7.01064,9.757981715583509e-08
298,529.933,208.836,389.764,1,upper,-6.95293,1.1144741511255611e-07
299,12.229,270.664,381.392,1,upper,-6.62573,2.3673910422896068e-07
300,0.818,694.414,404.519,1,upper,-6.58919,2.575194285767386e-07
301,118.008,831.982,465.327,1,upper,-6.57587,2.6554003000918156e-07
302,44.544,40.677,435.522,1,upper,-6.54913,2.824034513013073e-07
303,375.262,692.205,426.095,1,upper,-6.99907,1.0021436985798076e-07
304,610.815,465.048,436.319,1,upper,-6.91909,1.2047862434440168e-07
305,339.585,701.648,441.06,1,upper,-6.94585,1.1327915480162394e-07
306,105.08,173.338,408.934,1,upper,-6.69069,2.0384966402221205e-07
307,6.004,92.011,423.78,1,upper,-6.43099,3.7068925711988433e-07
308,-102.079,744.679,364.41,1,upper,-6.71273,1.9376262078597633e-07
309,289.035,473.12,414.625,1,upper,-6.97242,1.0655651299409228e-07
310,529.363,374.448,428.537,1,upper,-7.09007,8.12699513921841e-08
311,247.529,382.536,391.791,1,upper,-7.09319,8.06881949293403e-08
312,-41.148,698.829,427.829,1,upper,-6.65344,2.221058512828583e-07
313,97.651,50.388,395.824,1,upper,-6.59365,2.548883582549021e-07
314,148.06,346.384,381.746,1,upper,-6.88343,1.3078863283015487e-07
315,376.836,483.796,441.658,1,upper,-7.04898,8.933466229183589e-08
316,-30.788,276.843,408.212,1,upper,-6.71292,1.9367786989099353e-07
317,-169.978,160.888,381.102,1,upper,-6.6915,2.034698195850508e-07
318,482.64,435.35,450.821,1,upper,-7.09961,7.950418683581124e-08
319,477.608,198.865,424.645,1,upper,-6.94693,1.1299780309354276e-07
320,186.588,680.4,426.342,1,upper,-6.66164,2.179515691081555e-07
321,229.102,475.997,397.733,1,upper,-6.98579,1.0332609109314275e-07
322,485.478,227.71,442.189,1,upper,-7.01427,9.676760669636467e-08
323,-49.356,122.662,377.328,1,upper,-6.56932,2.695752396713217e-07
324,-67.905,80.274,356.385,1,upper,-6.49894,3.1700053852208844e-07
325,501.585,815.47,419.602,1,upper,-6.93336,1.1658428135878103e-07
326,276.521,900.417,433.76,1,upper,-6.74691,1.790976964498295e-07
327,212.363,164.616,397.627,1,upper,-6.70699,1.9634054853975827e-07
328,106.662,852.271,474.021,1,upper,-6.48146,3.3001980245819385e-07
329,375.495,762.132,448.442,1,upper,-6.88357,1.3074647835113887e-07
330,626.002,374.885,395.783,1,upper,-6.82704,1.489223908803248e-07
331,150.192,56.708,436.606,1,upper,-6.60473,2.484677344094386e-07
332,157.034,363.313,375.455,1,upper,-6.86816,1.3546902340784693e-07
333,-87.557,547.884,362.499,1,upper,-6.82199,1.5066417574958533e-07
334,86.108,915.753,424.981,1,upper,-6.49569,3.193816792479876e-07
335,413.14,230.883,432.943,1,upper,-6.96903,1.073915226343241e-07
336,608.21,895.183,476.178,1,upper,-6.65847,2.1954826024672383e-07
337,604.929,812.107,476.544,1,upper,-6.68565,2.0622912541235185e-07
338,307.069,840.574,423.716,1,upper,-6.97142,1.0680215112529433e-07
339,543.17,228.047,459.903,1,upper,-6.70729,1.962049681268997e-07
340,375.189,210.003,462.015,1,upper,-6.85524,1.395596912561267e-07
341,37.082,801.212,462.721,1,upper,-6.43832,3.644852852761157e-07
342,482.47,798.017,443.78,1,upper,-6.7151,1.9270811352715706e-07
343,287.384,447.238,406.781,1,upper,-6.96368,1.0872264265901408e-07
344,98.4,424.071,426.33,1,upper,-6.95264,1.1152185894015138e-07
345,468.411,804.446,450.969,1,upper,-6.9163,1.2125509605714872e-07
346,486.182,328.743,428.493,1,upper,-7.10075,7.929576622481474e-08
347,-138.341,369.38,349.851,1,upper,-6.77971,1.6606954661375697e-07
348,-179.316,488.197,316.344,1,upper,-6.95567,1.1074649750194141e-07
349,248.366,847.776,429.881,1,upper,-6.70699,1.9634054853975827e-07
350,-69.813,58.437,351.918,1,upper,-6.64058,2.2878102425366646e-07
351,69.882,325.86,358.892,1,upper,-6.62514,2.3706093882974373e-07
352,359.974,513.238,398.941,1,upper,-7.12647,7.473602582259148e-08
353,595.525,886.224,447.447,1,upper,-6.702,1.9860949173573717e-07
354,386.88,648.006,457.526,1,upper,-7.13213,7.376833818382329e-08
355,504.356,729.415,444.644,1,upper,-6.82453,1.4978557812593272e-07
356,-125.54,619.235,357.845,1,upper,-6.63475,2.318729033592009e-07
357,54.814,260.194,423.147,1,upper,-6.68631,2.0591595576300267e-07
358,328.183,138.281,429.821,1,upper,-6.96932,1.073198359168309e-07
359,80.342,747.032,420.517,1,upper,-6.69122,2.036010437227352e-07
360,481.616,204.103,421.229,1,upper,-6.80694,1.5597679778517834e-07
361,-15.351,610.167,410.815,1,upper,-6.70251,1.9837639784569669e-07
362,161.435,571.368,395.996,1,upper,-6.94383,1.1380726852082443e-07
363,481.816,851.69,485.866,1,upper,-6.84843,1.417653191726421e-07
364,173.748,84.418,452.76,1,upper,-6.67095,2.1332905031545854e-07
365,602.159,457.83,431.848,1,upper,-7.03072,9.317083764576042e-08
366,255.065,244.477,413.533,1,upper,-6.72489,1.884126248770268e-07
367,480.032,655.621,473.965,1,upper,-6.97368,1.0624781316706663e-07
368,534.095,338.354,412.537,1,upper,-6.96928,1.0732972089421837e-07
369,555.079,684.691,445.609,1,upper,-6.86264,1.372018603170118e-07
370,498.86,218.135,425.433,1,upper,-6.81242,1.540210217136659e-07
371,564.474,826.468,481.809,1,upper,-6.73045,1.8601587095808473e-07
372,471.323,346.397,410.373,1,upper,-7.03235,9.282180299186945e-08
373,330.063,528.347,419.869,1,upper,-6.9457,1.1331828679306933e-07
374,20.211,539.242,364.709,1,upper,-6.7622,1.7290199327406804e-07
375,234.506,78.132,442.819,1,upper,-6.81034,1.5476045575231635e-07
376,218.165,99.051,455.367,1,upper,-6.67318,2.1223646331536263e-07
377,263.714,539.364,410.745,1,upper,-6.97271,1.0648538366789675e-07
